,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,
Subject: Death and Life Expectancy,,,,,,,,,,,,,,,
"Topic: Deaths, Death Rates and Mortality",,,,,,,,,,,,,,,
"Table Title: Deaths By Ethnic Group And Sex, Monthly",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data last updated: 09/11/2022,,,,,,,,,,,,,,,
Source: REGISTRY OF BIRTHS AND DEATHS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Number
Data Series,Total Deaths By Ethnic Group ,Total Deaths By Ethnic Group -> Malays ,Total Deaths By Ethnic Group -> Chinese ,Total Deaths By Ethnic Group -> Indians ,Total Deaths By Ethnic Group -> Other Ethnic Groups ,Total Male Deaths By Ethnic Group ,Total Male Deaths By Ethnic Group -> Malays ,Total Male Deaths By Ethnic Group -> Chinese ,Total Male Deaths By Ethnic Group -> Indians ,Total Male Deaths By Ethnic Group -> Other Ethnic Groups ,Total Female Deaths By Ethnic Group ,Total Female Deaths By Ethnic Group -> Malays ,Total Female Deaths By Ethnic Group -> Chinese ,Total Female Deaths By Ethnic Group -> Indians ,Total Female Deaths By Ethnic Group -> Other Ethnic Groups 
  2022 Sep,2125,309,1596,174,46,1188,168,889,104,27,937,141,707,70,19
  2022 Aug,2345,351,1758,178,58,1265,186,939,103,37,1080,165,819,75,21
  2022 Jul,2391,354,1822,164,51,1303,189,982,101,31,1088,165,840,63,20
  2022 Jun,2110,302,1595,170,43,1113,162,836,94,21,997,140,759,76,22
  2022 May,2243,307,1719,171,46,1199,156,923,92,28,1043,151,795,79,18
  2022 Apr,2126,301,1621,159,45,1162,160,892,87,23,964,141,729,72,22
  2022 Mar,2622,371,2000,196,55,1460,208,1090,126,36,1162,163,910,70,19
  2022 Feb,2128,307,1572,201,48,1162,167,841,123,31,966,140,731,78,17
  2022 Jan,1970,288,1492,155,35,1083,146,831,89,17,887,142,661,66,18
  2021 Dec,2107,301,1591,181,34,1165,168,868,114,15,942,133,723,67,19
  2021 Nov,2349,320,1795,180,54,1327,170,1005,118,34,1022,150,790,62,20
  2021 Oct,2492,353,1893,194,52,1368,196,1037,107,28,1124,157,856,87,24
  2021 Sep,1965,249,1502,176,38,1058,126,803,107,22,907,123,699,69,16
